ID,Crop Name,N (kg/ha),P (kg/ha),K (kg/ha),Temp (°C),Rain (mm),Hum (%),pH,Soil Type,Season
2102,French Bean,90.27,84.97,50.04,22.05,662.09,66.74,6.41,Loamy,Kharif/Rabi
2103,Ridge Gourd,65.33,54.97,76.78,30.08,696.78,58.63,7.26,Sandy Loam,Zaid/Kharif
2104,Cashew Nut,76.33,37.82,43.63,24.93,1957.67,61.72,6.53,Red,Perennial
2105,Barley,67.95,35.34,24.32,21.09,404.96,42.73,8.45,Saline,Rabi
2106,Clove,99.85,54.48,91.72,21.49,2231.01,93.64,5.72,Red,Perennial
2107,Black Pepper,114.02,58.82,171.24,20.92,2715.84,77.69,5.65,Red,Perennial
2108,Bitter Gourd,64.26,41.39,64.05,28.83,728.33,66.02,6.95,Alluvial,Zaid/Kharif
2109,Potato,132.23,121.44,163.71,22.18,547.45,70.92,6.14,Sandy Loam,Rabi
2110,Nutmeg,97.53,55.54,90.99,29.7,2897.98,80.75,6.22,Coastal,Perennial
2111,Sapota,106.27,69.82,98.85,20.59,1699.01,67.05,6.59,Red,Perennial
2112,Shatavari,45.74,42.67,56.99,28.5,740.7,71.43,7.99,Red,Perennial
2113,Onion,128.89,62.6,92.39,21.09,676.17,57.18,6.47,Alluvial,Kharif/Rabi
2114,Coriander,62.5,41.73,40.85,21.78,490.95,73.76,6.28,Black,Rabi
2115,Opium Poppy,82.17,63.67,68.77,17.54,637.98,53.24,7.28,Alluvial,Rabi
2116,Pomegranate,86.08,46.09,96.58,22.41,766.12,54.58,6.97,Loamy,Perennial
2117,Jackfruit,106.46,54.23,102.67,23.48,2013.87,74.94,5.81,Laterite,Perennial
2118,Isabgol,46.23,39.19,35.85,21.23,433.61,38.98,7.76,Sandy Loam,Rabi
2119,Amaranth,67.86,38.78,37.1,25.96,621.18,59.56,6.23,Forest,Kharif
2120,Nutmeg,81.08,57.7,84.26,20.96,2162.65,82.15,6.91,Red,Perennial
2121,Proso Millet,33.47,21.03,22.49,24.01,578.42,49.91,6.06,Sandy,Kharif
2122,Mentha,139.26,52.68,55.35,25.06,1416.25,67.45,6.04,Peaty,Zaid
2123,Chickpea,23.37,45.42,23.99,20.56,465.4,45.71,7.18,Alluvial,Rabi
2124,Buckwheat,40.57,38.06,39.11,0.0,775.09,54.56,6.17,Forest/Mountain,Kharif/Rabi
2125,Tulsi,66.56,47.72,44.86,34.41,876.25,73.31,6.76,Loamy,Perennial
2126,Opium Poppy,90.54,64.98,73.72,22.87,594.83,62.12,6.03,Loamy,Rabi
2127,Wood Apple,41.54,45.49,54.56,40.56,409.47,40.39,6.56,Red,Perennial
2128,Barley,77.82,32.75,20.57,13.25,478.56,44.74,7.93,Loamy,Rabi
2129,Stevia,84.01,64.41,74.37,16.52,1685.34,80.55,6.07,Alluvial,Perennial
2130,Coconut,0.0,0.0,0.0,29.05,2242.45,87.8,6.15,Alluvial,Perennial
2131,Fenugreek,45.78,48.29,30.25,26.63,407.72,70.12,6.39,Loamy,Rabi
2132,Sunn Hemp,27.33,53.57,31.03,31.8,734.1,64.41,5.73,Loamy,Kharif
2133,Rubber,101.26,68.47,98.14,29.28,2548.21,79.16,4.82,Red,Perennial
2134,Amaranth,65.0,38.59,32.28,29.1,727.72,63.29,6.63,Red,Kharif
2135,Amaranth,58.82,35.22,36.11,26.65,521.86,55.79,6.72,Alluvial,Kharif
2136,Taramira,41.66,36.36,22.54,20.53,326.26,43.97,7.43,Sandy,Rabi
2137,Sweet Potato,70.4,54.4,150.0,28.75,1152.22,73.42,6.75,Loamy,Kharif/Rabi
2138,Mustard,96.9,47.15,33.05,22.96,664.87,50.99,7.11,Alluvial,Rabi
2139,Linseed,77.85,49.86,24.64,20.66,575.96,47.09,6.98,Black,Rabi
2140,Saffron,90.69,54.24,70.86,0.0,419.38,42.0,7.43,Karewa Soil,Rabi (Autumn)
2141,Potato,125.51,118.43,188.08,16.29,731.59,62.96,6.42,Alluvial,Rabi
2142,Ashwagandha,39.24,47.15,31.18,26.86,554.25,54.8,7.55,Red,Kharif/Rabi
2143,Apple,181.71,118.22,199.28,0.0,1185.67,57.92,6.8,Forest,Perennial (Fruiting: Autumn)
2144,Linseed,73.29,46.13,35.63,18.09,468.86,63.76,7.15,Black,Rabi
2145,Ajwain,57.47,27.53,22.48,23.35,407.29,56.49,6.57,Alluvial,Rabi
2146,Jute,87.94,31.86,62.04,29.07,1544.13,89.29,7.09,Peaty/Marshy,Kharif
2147,Kalmegh,50.3,37.9,31.54,26.18,1253.43,65.64,6.37,Alluvial,Kharif
2148,Taramira,51.87,35.06,22.85,26.55,304.72,39.57,7.16,Sandy,Rabi
2149,Avocado,120.53,52.28,103.86,29.85,1453.38,61.37,6.06,Red,Perennial
2150,Vanilla,82.15,49.48,88.91,22.52,3250.28,88.08,5.19,Laterite,Perennial
2151,Rose,125.02,148.64,137.5,26.38,1469.91,67.01,6.96,Alluvial,Perennial
2152,Makhana,68.88,50.01,40.83,27.16,2007.6,91.81,6.59,Peaty,Kharif
2153,Banana,199.95,61.78,270.45,30.45,1762.84,78.37,7.45,Alluvial,Perennial
2154,Mustard,88.32,55.33,37.54,23.97,665.28,62.62,6.08,Loamy,Rabi
2155,Khesari,18.86,49.46,22.22,18.41,420.9,47.76,7.41,Alluvial,Rabi
2156,Turmeric,100.78,54.77,136.31,30.18,2293.2,84.68,5.99,Alluvial,Kharif
2157,Apple,184.62,142.03,168.22,0.0,1152.82,71.63,6.46,Forest,Perennial (Fruiting: Autumn)
2158,Khesari,23.98,42.29,22.3,23.9,549.38,41.26,6.97,Clayey,Rabi
2159,Khesari,18.44,45.42,27.96,26.72,423.5,36.37,6.63,Alluvial,Rabi
2160,Little Millet,37.35,22.16,22.68,31.55,527.44,57.53,6.65,Red,Kharif
2161,Rice (Paddy),81.86,55.89,51.8,22.76,2498.01,75.5,5.64,Peaty/Marshy,Kharif
2162,Tomato,102.24,89.96,109.85,25.18,892.31,67.1,6.81,Loamy,Kharif/Rabi
2163,Black Gram,20.11,44.08,37.12,26.02,620.66,57.37,7.47,Loamy,Kharif
2164,Karakunda,77.49,44.13,45.42,20.24,1908.21,84.78,6.04,Mountain,Perennial
2165,Sesame,54.01,28.7,25.45,34.17,547.93,64.15,7.62,Sandy,Kharif
2166,Spinach,80.84,54.15,59.43,23.01,459.98,68.11,6.41,Peaty,Rabi
2167,Pigeon Pea,47.49,58.47,28.46,27.88,856.49,56.86,7.26,Alluvial,Kharif
2168,Pineapple,127.43,41.95,120.3,22.28,1788.25,79.36,5.4,Red,Perennial
2169,Pigeon Pea,42.77,58.59,42.19,26.28,958.2,65.86,6.67,Black,Kharif
2170,Kinnow,147.9,62.4,114.61,26.42,831.73,57.48,6.56,Alluvial,Perennial (Fruiting: Winter)
2171,Shatavari,56.2,51.79,55.51,25.36,972.01,50.06,6.14,Red,Perennial
2172,Grapes,140.3,155.16,217.1,32.89,804.57,74.73,7.9,Loamy,Perennial (Fruiting: Spring)
2173,Indigo,40.86,59.43,49.25,26.56,820.85,62.4,6.83,Loamy,Kharif
2174,Sweet Corn,121.42,66.22,47.87,21.27,1071.37,72.25,6.79,Loamy,Kharif
2175,Jowar,99.91,46.75,45.36,29.09,535.06,44.39,7.05,Alluvial,Kharif
2176,Litchi,120.04,62.31,80.75,25.99,1216.33,80.82,6.02,Loamy,Perennial
2177,Garlic,119.35,55.83,87.8,22.54,705.53,69.18,6.05,Black,Rabi
2178,Almonds,155.84,93.01,112.27,0.0,666.91,50.31,7.54,Mountain,Perennial
2179,Bottle Gourd,64.04,42.92,62.34,28.94,808.61,64.31,6.92,Red,Zaid/Kharif
2180,Ragi,63.57,36.46,35.71,20.44,810.18,58.59,7.1,Loamy,Kharif
2181,Amla,80.41,56.1,52.72,30.83,599.85,64.65,8.36,Red,Perennial
2182,Curry Leaves,65.59,55.48,76.9,26.32,1129.77,76.64,6.1,Loamy,Perennial
2183,Brinjal,139.92,54.67,87.0,30.4,864.68,79.8,6.29,Loamy,Kharif/Rabi
2184,Proso Millet,32.62,24.65,20.3,29.5,567.45,48.72,7.3,Sandy,Kharif
2185,Barnyard Millet,35.94,23.55,20.8,22.61,531.77,60.6,7.36,Alluvial,Kharif
2186,Potato,135.66,141.84,150.89,17.68,833.43,64.42,5.93,Sandy Loam,Rabi
2187,Capsicum,119.2,95.87,106.82,20.18,784.14,69.61,6.25,Forest,Kharif/Rabi
2188,Apple,195.46,109.85,169.42,0.0,1236.46,51.28,5.73,Karewa,Perennial (Fruiting: Autumn)
2189,Brahmi,66.12,42.28,44.87,31.22,2715.42,92.77,6.64,Peaty/Marshy,Perennial
2190,Fennel,100.0,46.13,55.3,16.71,526.0,56.84,6.89,Loamy,Rabi
2191,Wood Apple,44.22,49.5,42.3,23.21,616.13,54.56,7.11,Alluvial,Perennial
2192,Guava,81.67,42.61,88.72,28.92,1554.71,61.92,6.61,Red,Perennial
2193,Pineapple,127.58,44.71,129.29,21.57,1931.4,74.08,4.89,Laterite,Perennial
2194,Cashew Nut,70.55,31.58,56.15,29.03,2091.3,68.15,7.46,Red,Perennial
2195,Mulberry,224.55,130.87,146.89,24.22,1074.34,70.78,7.26,Red,Perennial
2196,Grapes,128.31,193.76,216.1,34.09,533.36,64.33,6.79,Loamy,Perennial (Fruiting: Spring)
2197,Jackfruit,119.85,57.42,114.78,28.51,1715.48,81.74,6.48,Laterite,Perennial
2198,Bottle Gourd,78.79,50.51,79.46,30.44,574.12,73.85,6.2,Sandy Loam,Zaid/Kharif
2199,Apricot,130.32,76.9,100.21,0.0,638.14,52.9,6.2,Forest,Perennial
2200,Marigold,78.21,70.44,86.76,21.3,860.63,64.09,6.1,Red,Kharif/Rabi
2201,Mulberry,164.75,137.08,131.25,30.01,927.1,62.17,6.53,Black,Perennial
2202,Sunn Hemp,23.53,54.3,31.3,26.54,529.56,59.0,7.48,Sandy,Kharif
2203,Custard Apple,49.45,45.19,44.59,31.27,875.1,65.19,7.37,Gravelly,Perennial
2204,Cashew Nut,62.15,31.97,50.95,33.07,1801.76,65.45,6.44,Coastal,Perennial
2205,Tulsi,70.95,43.54,49.01,25.95,996.21,75.85,6.1,Red,Perennial
2206,Mulberry,152.36,122.5,120.5,23.04,1166.53,66.05,6.52,Black,Perennial
2207,Amla,68.42,51.54,49.61,40.19,740.19,53.11,8.99,Red,Perennial
2208,Clove,95.49,56.88,86.39,24.91,2656.27,94.74,5.49,Red,Perennial
2209,Cabbage,132.53,96.11,84.52,16.43,782.72,68.77,6.85,Alluvial,Rabi
2210,Drumstick,51.56,56.2,68.61,25.27,863.45,42.95,7.53,Red,Perennial
2211,Tea (Clone),134.24,35.09,60.7,27.07,1930.03,81.78,4.75,Laterite,Perennial
2212,Isabgol,40.8,35.16,34.58,28.8,348.22,49.38,7.66,Sandy Loam,Rabi
2213,Makhana,78.11,48.92,55.93,28.23,2592.2,87.13,6.44,Peaty,Kharif
2214,Jackfruit,118.16,55.81,87.45,32.71,1724.65,80.63,5.64,Alluvial,Perennial
2215,Aloe Vera,30.78,27.69,31.2,35.96,420.6,53.54,7.65,Saline,Perennial
2216,Radish,73.23,53.01,78.01,22.1,686.39,74.92,6.61,Sandy Loam,Rabi
2217,Ashwagandha,33.71,43.1,30.49,30.83,665.43,42.51,7.86,Red,Kharif/Rabi
2218,Ajwain,57.31,38.96,27.18,26.95,330.21,58.69,7.8,Alluvial,Rabi
2219,Ber,49.8,36.37,57.72,24.48,311.43,44.92,8.53,Sandy,Perennial
2220,Ashwagandha,44.79,43.18,21.46,25.18,676.39,48.69,7.65,Red,Kharif/Rabi
2221,Rose,137.19,133.55,144.19,28.31,1103.79,75.46,6.79,Loamy,Perennial
2222,Mustard,84.15,56.19,28.52,23.16,674.06,58.44,7.28,Loamy,Rabi
2223,Amla,71.66,52.04,54.46,25.66,945.39,57.22,8.12,Red,Perennial
2224,Dragon Fruit,61.68,55.97,97.49,28.48,502.18,50.95,6.86,Laterite,Perennial
2225,Betel Vine,182.77,118.98,121.09,27.43,2237.51,86.98,7.45,Red,Perennial
2226,Coffee,136.99,41.29,138.07,22.01,2144.59,71.61,5.36,Laterite,Perennial
2227,Cherry,126.09,97.56,142.61,0.0,986.82,72.48,6.41,Mountain,Perennial
2228,Cluster Bean,24.02,57.45,26.5,31.76,337.58,52.42,7.53,Alluvial,Kharif
2229,Linseed,76.59,48.81,36.3,27.2,689.08,57.98,6.02,Alluvial,Rabi
2230,Indigo,33.56,54.61,49.85,24.33,693.62,63.89,7.37,Alluvial,Kharif
2231,Mushrooms,17.82,9.35,7.32,21.27,535.64,90.19,7.26,Peaty/Organic Waste,Year-round
2232,Chickpea,26.47,46.29,29.93,19.67,440.22,33.77,7.31,Black,Rabi
2233,Custard Apple,53.92,37.65,59.08,24.5,562.31,74.86,6.23,Gravelly,Perennial
2234,Nutmeg,89.6,55.38,90.23,23.55,2961.26,84.0,6.83,Red,Perennial
2235,Tulsi,74.3,44.05,43.15,21.97,1038.72,79.93,6.47,Loamy,Perennial
2236,Sunflower,87.45,77.84,48.95,28.38,728.41,54.88,7.93,Black,Kharif/Rabi/Zaid
2237,Ridge Gourd,73.42,51.83,62.71,30.32,744.32,55.09,7.32,Alluvial,Zaid/Kharif
2238,Cocoa,131.31,78.14,103.47,31.09,2386.0,82.05,6.18,Alluvial,Perennial
2239,Watermelon,71.01,61.83,91.63,27.82,592.08,50.79,6.73,Alluvial,Zaid
2240,Litchi,110.55,71.73,107.85,26.69,1377.58,77.34,6.27,Alluvial,Perennial
2241,Bamboo,156.05,74.44,108.82,30.8,1325.81,65.08,6.13,Alluvial,Perennial
2242,Star Anise,68.26,47.3,53.29,25.92,1892.63,72.25,6.08,Sub-Montane,Perennial
2243,Mushrooms,17.14,9.58,6.12,22.05,959.99,81.73,7.01,Peaty/Organic Waste,Year-round
2244,Lentil,24.06,41.46,23.02,22.51,546.04,43.8,7.11,Alluvial,Rabi
2245,Khesari,23.5,48.98,20.53,22.54,502.78,54.77,7.85,Clayey,Rabi
2246,Chironji,48.87,36.53,30.36,22.14,557.28,59.46,7.57,Laterite,Perennial
2247,Grapes,116.26,158.1,244.51,23.1,604.98,74.69,7.83,Loamy,Perennial (Fruiting: Spring)
2248,Sugarcane,213.34,98.07,100.82,31.37,1945.63,69.11,7.13,Alluvial,Perennial (Annual)
2249,Bajra,69.01,35.71,30.94,33.31,356.89,42.4,8.36,Sandy,Kharif
2250,Karakunda,66.83,52.94,52.34,31.06,1661.16,83.61,6.32,Mountain,Perennial
2251,Maize (Corn),139.59,69.1,54.3,25.73,782.77,62.34,5.82,Red,Kharif
2252,Sunflower,97.41,62.34,58.27,31.22,786.33,50.5,6.8,Black,Kharif/Rabi/Zaid
2253,Mushrooms,12.2,9.68,5.53,22.22,930.99,90.71,6.95,Peaty/Organic Waste,Year-round
2254,Ridge Gourd,74.42,50.47,71.85,24.9,591.85,71.08,6.69,Sandy Loam,Zaid/Kharif
2255,Brahmi,71.13,49.42,40.77,27.33,2068.88,86.63,5.82,Alluvial,Perennial
2256,Tea,175.25,49.85,70.17,23.59,2142.62,93.78,5.16,Red,Perennial
2257,Khesari,24.24,42.07,23.77,24.43,544.66,52.15,6.64,Clayey,Rabi
2258,Apple,161.31,138.56,198.61,0.0,1048.58,58.46,6.73,Karewa,Perennial (Fruiting: Autumn)
2259,Jute,87.22,43.78,64.42,33.6,1844.43,86.02,5.58,Alluvial,Kharif
2260,Strawberry,114.47,88.44,130.55,0.0,872.04,60.61,6.45,Alluvial,Rabi/Winter
2261,Black Gram,30.36,53.29,23.11,30.01,754.5,53.32,7.79,Black,Kharif
2262,Kalmegh,59.31,48.74,40.52,31.38,1805.29,71.83,6.13,Red,Kharif
2263,Cherry,136.66,81.71,109.04,0.0,1123.23,60.44,6.48,Mountain,Perennial
2264,Mulberry,263.54,121.04,132.24,29.13,983.13,78.25,7.25,Black,Perennial
2265,Rapeseed,98.42,42.53,34.18,24.75,524.36,42.36,7.5,Alluvial,Rabi
2266,Tea (Clone),169.7,37.48,69.14,19.43,2017.76,85.66,4.96,Forest,Perennial
2267,Rajma,105.16,78.62,42.08,17.69,948.28,68.2,6.24,Forest,Rabi
2268,Bottle Gourd,78.81,53.81,73.06,25.18,822.06,72.44,6.09,Red,Zaid/Kharif
2269,Apple,154.82,134.48,176.8,0.0,1073.27,73.74,6.26,Karewa,Perennial (Fruiting: Autumn)
2270,Khesari,19.08,46.65,28.1,19.65,483.4,54.9,7.76,Clayey,Rabi
2271,Star Anise,72.57,58.15,54.5,20.41,1988.84,74.13,6.63,Mountain,Perennial
2272,Sapota,98.22,60.13,94.52,32.16,1557.42,76.21,7.77,Red,Perennial
2273,Aloe Vera,33.54,38.21,30.93,26.4,316.03,51.12,7.86,Arid,Perennial
2274,Kiwi,125.35,66.94,136.21,23.9,1011.99,69.99,6.07,Sub-Montane,Perennial
2275,Wood Apple,51.12,40.92,55.44,33.64,531.7,58.57,6.69,Saline,Perennial
2276,Mentha,139.2,53.1,53.46,31.98,1172.31,76.77,6.24,Loamy,Zaid
2277,Soybean,31.74,85.41,55.74,21.53,852.81,70.4,6.56,Loamy,Kharif
2278,Tomato,113.63,93.86,142.87,27.02,649.21,72.57,6.56,Alluvial,Kharif/Rabi
2279,Safflower,49.32,49.52,26.19,26.54,667.94,47.55,7.39,Saline,Rabi
2280,Bottle Gourd,65.61,45.23,64.08,29.65,674.39,72.84,6.49,Alluvial,Zaid/Kharif
2281,Mace,74.0,56.47,88.66,26.12,2783.2,82.33,6.13,Coastal,Perennial
2282,Green Gram,34.4,40.92,23.23,33.9,715.56,51.28,7.03,Loamy,Kharif/Zaid
2283,Cinnamon,89.13,40.28,91.56,24.02,2267.28,94.28,5.6,Forest,Perennial
2284,Popcorn,123.35,62.71,48.47,31.26,550.25,68.58,6.99,Alluvial,Kharif
2285,Tobacco,113.65,66.87,135.52,28.67,843.4,63.04,6.04,Alluvial,Kharif/Rabi
2286,Niger Seed,55.34,52.0,34.49,23.1,725.85,65.39,7.05,Red,Kharif
2287,Rose,120.43,148.52,124.33,18.49,1231.91,76.36,6.72,Loamy,Perennial
2288,Mulberry,204.34,122.85,134.07,32.0,1346.33,79.27,6.59,Black,Perennial
2289,Sugarcane,215.91,115.08,143.02,31.98,1948.27,70.29,6.97,Black,Perennial (Annual)
2290,Almonds,137.89,91.46,135.5,0.0,648.74,56.83,7.53,Karewa,Perennial
2291,Castor Seed,77.31,49.06,33.85,24.7,796.57,43.7,6.73,Sandy Loam,Kharif
2292,Tobacco,101.67,67.36,111.06,25.78,1033.68,63.61,6.0,Loamy,Kharif/Rabi
2293,Banana,246.46,54.43,291.66,25.42,2270.71,78.24,7.7,Black,Perennial
2294,Sugarcane,255.6,87.4,138.56,30.12,1572.88,79.56,7.2,Black,Perennial (Annual)
2295,Mace,60.06,58.78,101.36,28.41,3226.51,88.37,5.79,Laterite,Perennial
2296,Star Anise,63.58,57.03,58.4,18.25,1907.45,72.13,6.75,Mountain,Perennial
2297,Tomato,129.08,84.4,132.14,23.0,795.83,70.08,6.1,Alluvial,Kharif/Rabi
2298,Black Gram,34.82,56.64,23.93,27.05,793.85,53.26,7.78,Loamy,Kharif
2299,Chironji,33.3,30.01,36.9,22.42,656.33,45.78,6.93,Gravelly,Perennial
2300,Radish,63.56,55.6,78.66,17.15,519.69,56.63,6.95,Sandy Loam,Rabi
2301,Cotton,120.65,64.85,70.68,27.28,1106.42,49.67,8.0,Alluvial,Kharif
2302,Mulberry,152.61,126.18,139.34,27.28,1099.64,68.78,6.9,Black,Perennial
2303,Bottle Gourd,68.29,58.32,72.34,28.84,664.25,60.98,7.24,Alluvial,Zaid/Kharif
2304,Potato,136.56,144.28,152.05,16.14,692.6,76.38,6.3,Sandy Loam,Rabi
2305,Walnuts,180.47,88.75,142.96,0.0,883.68,51.93,6.34,Mountain,Perennial
2306,Ashwagandha,32.53,53.97,29.48,32.21,708.53,64.21,8.4,Red,Kharif/Rabi
2307,Bamboo,153.74,64.59,144.49,22.84,2171.61,68.06,5.82,Forest,Perennial
2308,Popcorn,144.11,75.97,56.96,20.74,704.67,55.65,5.84,Alluvial,Kharif
2309,Tulsi,63.01,40.15,40.84,28.41,1469.03,68.88,7.03,Alluvial,Perennial
2310,Mustard,85.19,40.8,30.49,24.27,451.88,53.84,6.26,Alluvial,Rabi
2311,Nutmeg,80.6,48.74,99.44,23.48,2191.84,85.01,6.25,Laterite,Perennial
2312,Sunn Hemp,22.43,47.4,34.02,25.57,811.83,59.96,6.13,Sandy,Kharif
2313,Sweet Corn,148.6,62.01,46.44,27.78,1057.2,60.51,6.38,Alluvial,Kharif
2314,Ginger,112.29,73.92,124.71,25.47,2193.58,83.16,6.52,Red,Kharif
2315,Tulsi,76.06,46.33,43.58,22.76,1278.66,64.69,6.95,Alluvial,Perennial
2316,Tobacco,104.37,53.32,110.41,26.54,970.35,60.27,6.41,Sandy,Kharif/Rabi
2317,Chickpea,28.74,55.22,21.29,17.66,611.05,31.77,6.66,Black,Rabi
2318,Oil Palm,174.8,100.43,160.42,27.92,2657.85,83.55,5.65,Laterite,Perennial
2319,Shatavari,55.66,41.2,53.16,36.21,635.28,60.67,6.51,Red,Perennial
2320,Sunn Hemp,21.26,59.0,38.51,20.85,898.73,56.46,5.59,Sandy,Kharif
2321,Chili,110.58,60.48,73.84,25.8,773.26,58.62,6.79,Loamy,Kharif/Rabi
2322,Jackfruit,113.26,41.46,85.13,27.59,1544.5,75.99,6.42,Laterite,Perennial
2323,Little Millet,31.69,22.51,24.08,25.75,674.59,40.26,6.01,Red,Kharif
2324,Drumstick,72.6,42.96,54.65,27.33,875.32,67.45,6.17,Red,Perennial
2325,Kodo Millet,30.67,21.71,24.25,26.42,447.95,37.51,6.72,Arid,Kharif
2326,Aloe Vera,32.05,24.97,24.33,22.01,249.6,30.74,7.9,Saline,Perennial
2327,Stevia,85.23,73.55,74.05,28.1,1204.9,77.99,6.56,Alluvial,Perennial
2328,Mushrooms,18.41,9.7,6.31,22.04,799.86,81.89,7.28,Peaty/Organic Waste,Year-round
2329,Tomato,108.97,96.19,121.3,18.82,612.15,71.01,6.64,Loamy,Kharif/Rabi
2330,Wood Apple,57.84,45.98,59.58,29.34,675.07,56.27,8.2,Alluvial,Perennial
2331,Little Millet,30.76,23.08,23.24,29.79,465.83,45.83,7.3,Gravelly,Kharif
2332,Tea (Clone),129.05,34.75,83.81,29.76,2166.24,86.66,4.91,Red,Perennial
2333,Wheat,137.21,51.0,57.07,14.47,622.99,51.52,6.81,Alluvial,Rabi
2334,Strawberry,117.94,81.94,147.93,0.0,988.2,72.37,5.51,Alluvial,Rabi/Winter
2335,French Bean,63.07,88.18,47.91,19.68,654.82,76.56,5.84,Loamy,Kharif/Rabi
2336,Nutmeg,88.43,48.25,89.08,25.55,2274.3,94.78,5.55,Red,Perennial
2337,Mace,70.99,40.82,90.52,27.21,3279.34,77.61,6.96,Red,Perennial
2338,Tomato,140.69,90.85,102.42,23.52,871.34,71.56,6.76,Red,Kharif/Rabi
2339,Jasmine,108.53,101.55,107.3,30.24,1818.13,78.65,6.0,Loamy,Perennial
2340,Cauliflower,140.77,97.61,94.95,19.41,703.02,64.95,6.84,Alluvial,Rabi
2341,Foxtail Millet,54.97,24.22,28.91,26.82,709.15,56.33,6.46,Black,Kharif
2342,Strawberry,117.21,112.92,143.36,0.0,883.7,72.09,5.66,Alluvial,Rabi/Winter
2343,Khesari,17.82,44.79,20.21,16.81,467.65,43.49,7.66,Clayey,Rabi
2344,Rajma,83.16,71.73,45.96,19.52,928.85,70.36,5.72,Loamy,Rabi
2345,Tomato,103.46,82.83,107.43,23.9,805.08,77.25,6.97,Loamy,Kharif/Rabi
2346,Ajwain,42.54,23.81,23.57,27.25,561.52,54.31,6.53,Sandy Loam,Rabi
2347,Pomegranate,63.29,43.06,87.1,24.96,789.13,55.73,6.63,Loamy,Perennial
2348,Ashwagandha,32.08,42.83,33.1,24.21,770.03,58.29,8.04,Sandy Loam,Kharif/Rabi
2349,Tamarind,42.2,48.75,58.19,33.58,664.41,70.25,8.33,Gravelly,Perennial
2350,Fennel,87.74,59.9,50.07,16.2,546.52,60.64,6.65,Loamy,Rabi
2351,French Bean,85.26,97.25,58.35,19.66,799.85,63.7,6.42,Alluvial,Kharif/Rabi
2352,Ashwagandha,44.85,45.17,20.7,28.44,694.83,58.14,8.2,Red,Kharif/Rabi
2353,Mustard,84.73,54.8,38.37,19.29,596.01,44.82,6.14,Loamy,Rabi
2354,Mushrooms,13.64,8.19,7.53,23.44,581.49,84.56,7.34,Peaty/Organic Waste,Year-round
2355,Muskmelon,63.02,74.9,89.49,35.93,533.55,44.01,7.03,Alluvial,Zaid
2356,Coriander,65.6,42.02,43.87,16.24,551.14,57.26,7.38,Alluvial,Rabi
2357,Green Gram,21.61,49.17,20.09,30.31,815.4,48.18,6.54,Red,Kharif/Zaid
2358,Walnuts,175.19,119.37,134.42,0.0,1075.35,55.48,6.97,Karewa,Perennial
2359,Nutmeg,83.36,58.0,92.99,21.34,3180.69,87.87,6.05,Laterite,Perennial
2360,Amla,85.59,42.06,43.01,23.8,725.7,53.47,8.47,Alluvial,Perennial
2361,Black Pepper,122.89,44.89,170.59,24.15,3273.44,78.64,5.5,Forest,Perennial
2362,Makhana,78.88,43.66,43.31,34.51,2522.5,85.71,7.46,Marshy (Stagnant Water),Kharif
2363,Spinach,80.4,55.73,49.36,24.69,755.28,67.04,6.65,Alluvial,Rabi
2364,Cherry,143.9,86.89,120.16,0.0,906.87,65.96,6.29,Karewa,Perennial
2365,Drumstick,59.99,52.06,58.3,25.01,841.55,63.62,7.25,Red,Perennial
2366,Shatavari,46.37,46.83,47.79,35.5,724.21,54.64,7.81,Sandy,Perennial
2367,Saffron,91.7,53.4,76.65,0.0,505.89,61.13,7.62,Karewa Soil,Rabi (Autumn)
2368,Mentha,145.22,58.3,57.01,21.11,1389.33,70.54,6.17,Peaty,Zaid
2369,Garlic,104.93,54.16,86.54,18.0,612.24,59.55,6.0,Alluvial,Rabi
2370,Coconut,0.0,0.0,0.0,26.01,1054.44,79.78,6.7,Coastal,Perennial
2371,Rajma,119.91,69.39,42.86,22.35,994.8,79.34,6.11,Alluvial,Rabi
2372,Coconut,0.0,0.0,0.0,31.19,1735.09,81.55,5.85,Sandy,Perennial
2373,Okra,111.16,52.06,51.94,33.25,1078.82,68.67,6.33,Alluvial,Kharif/Zaid
2374,Drumstick,51.1,58.15,53.63,37.49,773.18,51.05,6.35,Red,Perennial
2375,Ragi,65.58,30.72,34.25,22.31,674.22,66.32,6.52,Sandy,Kharif
2376,Toria,69.69,40.92,27.47,24.31,525.9,55.45,7.14,Loamy,Rabi
2377,Plum,124.39,68.98,85.5,0.0,1163.48,72.37,6.39,Loamy,Perennial
2378,Pineapple,146.93,44.4,131.43,27.85,1705.61,82.73,5.08,Red,Perennial
2379,Coconut,0.0,0.0,0.0,29.12,1799.36,87.99,7.35,Coastal,Perennial
2380,Mentha,147.92,52.04,56.8,30.38,1230.9,65.23,6.37,Peaty,Zaid
2381,Jowar,85.8,46.32,43.02,31.93,545.09,40.37,7.72,Loamy,Kharif
2382,Maize (Corn),137.94,63.96,43.91,18.55,733.89,74.66,6.81,Loamy,Kharif
2383,Pineapple,141.52,49.08,141.15,25.95,2302.79,73.9,4.6,Red,Perennial
2384,Pomegranate,90.25,51.67,94.74,34.86,566.77,40.36,7.09,Sandy,Perennial
2385,Khesari,15.95,45.96,24.7,25.2,529.5,38.82,6.91,Alluvial,Rabi
2386,Little Millet,39.45,21.27,21.05,29.39,499.13,52.91,6.8,Gravelly,Kharif
2387,Fennel,91.58,44.98,47.23,16.16,713.09,60.96,6.74,Loamy,Rabi
